0
gold_diff
gold_efficiency
gold_diff_per_min
objective_diff
tower_diff
death_diff
kill_diff
red_efficiency
efficiency_diff
blue_gold_per_min
blue_efficiency
assist_diff
kill_diff_per_min
min_25_kill_diff
red_gold_per_min
min_25_gold_diff
red_objectives
assist_diff_per_min
blue_objectives
red_towers
blue_towers
red_kills
min_20_kill_diff
mid_gold_trend
cs_diff
red_inhibitors
blue_kills
min_25_red_towers
blue_inhibitors
red_gold
